zona,enderecos_lista,area,quartos,aluguel
norte,"Avenida Santa Inês, Parque Mandaqui, São Paulo Zona Norte, São Paulo",120.0,2.0,1680
norte,"Rua José De Almeida, Vila Medeiros, São Paulo Zona Norte, São Paulo",82.0,3.0,1840
norte,"Avenida General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",60.0,2.0,2400
norte,"Avenida Clavásio Alves Da Silva, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",90.0,3.0,1520
norte,"Rua Monte Cassino, Casa Verde, São Paulo Zona Norte, São Paulo",577.0,5.0,15000
norte,"Rua Doutor Guilherme Cristoffel, Santana, São Paulo Zona Norte, São Paulo",229.0,4.0,7500
norte,"Rua Galiléia, Casa Verde Média, São Paulo Zona Norte, São Paulo",300.0,3.0,3500
norte,"Avenida Sanatório, Jardim Modelo, São Paulo Zona Norte, São Paulo",40.0,1.0,950
norte,"Rua Doutor Pedro Jabur, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",90.0,2.0,1365
norte,"Rua Ida Da Silva, Vila Guilherme, São Paulo Zona Norte, São Paulo",100.0,2.0,2616
norte,"Rua José De Oliveira, Parque Peruche, São Paulo Zona Norte, São Paulo",50.0,2.0,1560
norte,"Rua Artur, Imirim, São Paulo Zona Norte, São Paulo",60.0,1.0,1200
norte,"Rua Dos Sitiantes, Itaberaba, São Paulo Zona Norte, São Paulo",85.0,2.0,2070
norte,"Rua Itamonte, Vila Medeiros, São Paulo Zona Norte, São Paulo",48.0,2.0,2050
norte,"Rua Emílio Rodrigues, Vila Paiva, São Paulo Zona Norte, São Paulo",90.0,2.0,1900
norte,"Rua Plácido Leão, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",250.0,3.0,2500
norte,"Rua Macaiá-mirim, Santana, São Paulo Zona Norte, São Paulo",110.0,3.0,2300
norte,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",49.0,2.0,2050
norte,"Avenida Gustavo Adolfo, Vila Gustavo, São Paulo Zona Norte, São Paulo",110.0,2.0,2200
norte,"Rua Pontins, Santana, São Paulo Zona Norte, São Paulo",78.0,2.0,3400
norte,"Travessa Dona Amélia Vieira Pita, Chora Menino, São Paulo Zona Norte, São Paulo",55.0,2.0,1850
norte,"Rua Do Tramway, Tucuruvi, São Paulo Zona Norte, São Paulo",47.0,1.0,1700
norte,"Rua Ventura Carneiro, Vila Celeste, São Paulo Zona Norte, São Paulo",42.0,2.0,1320
norte,"Rua Conselheiro Moreira De Barros, Santana, São Paulo Zona Norte, São Paulo",57.0,1.0,1490
